src_u_id,dst_u_id
0,1
0,8
0,12
0,15
0,21
0,24
0,29
0,34
0,40
0,46
0,49
0,52
0,54
0,56
0,61
0,67
0,68
0,69
0,81
0,82
0,95
0,97
0,99
0,100
0,101
0,103
0,104
0,108
0,109
0,111
0,112
0,117
0,124
0,125
0,127
0,129
0,136
0,137
0,138
0,139
0,143
0,147
0,149
0,153
0,155
0,157
0,162
0,163
0,167
0,169
0,172
0,174
0,175
0,179
0,180
0,182
0,185
0,186
0,187
0,188
0,193
0,194
0,195
0,197
0,198
0,200
1,2
1,8
1,12
1,15
1,29
1,30
1,34
1,36
1,40
1,46
1,49
1,54
1,56
1,61
1,66
1,67
1,74
1,82
1,95
1,97
1,99
1,101
1,103
1,104
1,109
1,111
1,112
1,115
1,117
1,122
1,124
1,125
1,127
1,129
1,137
1,138
1,143
1,147
1,149
1,153
1,155
1,156
1,162
1,163
1,166
1,172
1,174
1,175
1,179
1,180
1,185
1,187
1,190
1,191
1,192
1,193
1,194
1,195
1,197
1,198
1,200
2,6
2,8
2,12
2,15
2,29
2,30
2,36
2,49
2,54
2,56
2,61
2,82
2,95
2,97
2,99
2,101
2,109
2,111
2,117
2,122
2,124
2,127
2,129
2,136
2,137
2,147
2,149
2,153
2,155
2,162
2,174
2,175
2,180
2,185
2,190
2,193
2,194
2,197
2,198
4,8
4,12
4,56
4,61
4,97
4,99
4,100
4,111
4,117
4,124
4,125
4,137
4,149
4,153
4,162
4,174
4,186
4,193
4,194
4,197
4,198
4,200
6,8
6,12
6,15
6,36
6,49
6,56
6,82
6,95
6,99
6,101
6,103
6,111
6,117
6,124
6,125
6,127
6,137
6,153
6,154
6,155
6,162
6,185
6,194
6,197
6,198
7,8
7,12
7,54
7,82
7,99
7,111
7,117
7,124
7,137
7,153
7,162
7,174
8,12
8,14
8,15
8,17
8,21
8,24
8,25
8,26
8,28
8,29
8,30
8,34
8,35
8,36
8,39
8,40
8,41
8,46
8,48
8,49
8,51
8,52
8,54
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,64
8,66
8,67
8,68
8,69
8,70
8,73
8,74
8,77
8,80
8,81
8,82
8,83
8,85
8,92
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,103
8,104
8,106
8,107
8,108
8,109
8,110
8,111
8,112
8,115
8,117
8,120
8,122
8,124
8,125
8,127
8,129
8,130
8,132
8,133
8,136
8,137
8,138
8,139
8,141
8,143
8,147
8,148
8,149
8,153
8,154
8,155
8,156
8,157
8,158
8,159
8,160
8,161
8,162
8,163
8,164
8,166
8,167
8,168
8,169
8,172
8,174
8,175
8,176
8,178
8,179
8,180
8,182
8,185
8,186
8,187
8,188
8,189
8,190
8,191
8,192
8,193
8,194
8,195
8,197
8,198
8,199
8,200
8,201
12,14
12,15
12,17
12,21
12,24
12,25
12,26
12,28
12,29
12,30
12,34
12,35
12,36
12,39
12,40
12,41
12,46
12,48
12,49
12,51
12,52
12,54
12,56
12,57
12,58
12,59
12,60
12,61
12,62
12,64
12,66
12,67
12,68
12,69
12,70
12,73
12,74
12,77
12,80
12,81
12,82
12,83
12,85
12,92
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,103
12,104
12,106
12,107
12,108
12,109
12,110
12,111
12,112
12,115
12,117
12,120
12,122
12,124
12,125
12,127
12,129
12,130
12,132
12,133
12,136
12,137
12,138
12,139
12,141
12,143
12,147
12,148
12,149
12,153
12,154
12,155
12,156
12,157
12,159
12,160
12,161
12,162
12,163
12,164
12,166
12,167
12,168
12,169
12,172
12,174
12,175
12,176
12,178
12,179
12,180
12,182
12,185
12,186
12,187
12,188
12,189
12,190
12,191
12,192
12,193
12,194
12,195
12,197
12,198
12,199
12,200
12,201
14,82
14,99
14,101
14,107
14,111
14,117
14,124
14,137
14,194
14,197
14,198
15,21
15,24
15,29
15,30
15,36
15,40
15,48
15,49
15,52
15,54
15,56
15,59
15,61
15,62
15,67
15,77
15,81
15,82
15,83
15,95
15,97
15,98
15,99
15,101
15,103
15,104
15,109
15,111
15,112
15,117
15,122
15,124
15,127
15,129
15,136
15,137
15,138
15,139
15,143
15,147
15,149
15,153
15,155
15,157
15,162
15,166
15,172
15,174
15,175
15,179
15,180
15,185
15,186
15,189
15,190
15,193
15,194
15,195
15,197
15,198
17,99
17,111
17,117
17,137
17,157
17,162
17,174
17,198
21,24
21,29
21,34
21,40
21,48
21,49
21,51
21,56
21,59
21,60
21,61
21,66
21,68
21,74
21,81
21,83
21,95
21,99
21,101
21,103
21,104
21,108
21,109
21,111
21,112
21,117
21,124
21,129
21,132
21,136
21,137
21,138
21,143
21,147
21,149
21,153
21,155
21,157
21,162
21,163
21,169
21,172
21,174
21,175
21,180
21,185
21,188
21,189
21,193
21,194
21,195
21,197
21,198
24,29
24,34
24,48
24,49
24,56
24,59
24,61
24,66
24,68
24,74
24,81
24,83
24,95
24,99
24,101
24,104
24,108
24,109
24,111
24,112
24,117
24,124
24,129
24,132
24,136
24,137
24,138
24,143
24,147
24,149
24,153
24,155
24,157
24,162
24,169
24,172
24,174
24,175
24,180
24,185
24,188
24,189
24,193
24,194
24,195
24,197
24,198
25,99
25,104
25,110
25,111
25,117
25,124
25,137
25,162
25,174
26,49
26,54
26,56
26,61
26,67
26,82
26,99
26,101
26,106
26,111
26,117
26,124
26,125
26,137
26,149
26,153
26,155
26,162
26,174
26,182
26,185
26,186
26,194
26,197
26,198
28,56
28,67
28,99
28,111
28,124
28,153
28,162
28,185
28,194
28,197
29,34
29,36
29,48
29,49
29,56
29,59
29,61
29,66
29,67
29,68
29,74
29,81
29,82
29,83
29,95
29,97
29,99
29,101
29,103
29,104
29,108
29,109
29,111
29,112
29,115
29,117
29,122
29,124
29,127
29,129
29,132
29,136
29,137
29,138
29,143
29,147
29,149
29,153
29,155
29,157
29,162
29,163
29,166
29,169
29,172
29,174
29,175
29,179
29,180
29,185
29,188
29,189
29,193
29,194
29,195
29,197
29,198
29,201
30,56
30,99
30,111
30,117
30,124
30,137
30,153
30,162
30,190
30,193
30,198
34,35
34,40
34,46
34,48
34,49
34,52
34,54
34,56
34,57
34,61
34,66
34,67
34,68
34,74
34,81
34,82
34,95
34,96
34,99
34,101
34,103
34,104
34,106
34,107
34,108
34,109
34,111
34,112
34,117
34,120
34,122
34,124
34,127
34,129
34,136
34,137
34,138
34,141
34,143
34,147
34,153
34,155
34,156
34,161
34,162
34,163
34,166
34,169
34,172
34,174
34,175
34,179
34,180
34,182
34,185
34,186
34,187
34,188
34,194
34,195
34,197
34,198
34,200
35,56
35,57
35,67
35,99
35,111
35,124
35,141
35,153
35,162
36,46
36,48
36,49
36,56
36,61
36,66
36,74
36,95
36,96
36,97
36,98
36,99
36,101
36,103
36,104
36,109
36,111
36,115
36,117
36,122
36,124
36,127
36,129
36,133
36,137
36,143
36,147
36,153
36,155
36,157
36,162
36,166
36,172
36,174
36,175
36,179
36,180
36,185
36,193
36,194
36,197
36,198
36,201
39,99
39,111
39,117
39,124
39,137
39,162
39,168
39,186
39,193
39,200
40,46
40,48
40,49
40,51
40,52
40,54
40,56
40,58
40,60
40,66
40,68
40,69
40,73
40,74
40,95
40,96
40,99
40,101
40,103
40,104
40,111
40,112
40,117
40,124
40,127
40,129
40,137
40,138
40,143
40,147
40,153
40,156
40,157
40,160
40,162
40,163
40,166
40,169
40,172
40,174
40,175
40,179
40,180
40,185
40,186
40,187
40,193
40,194
40,195
40,197
40,198
41,56
41,61
41,99
41,103
41,111
41,117
41,124
41,137
41,153
41,162
41,163
41,174
41,186
46,49
46,54
46,56
46,61
46,66
46,74
46,82
46,95
46,96
46,97
46,99
46,101
46,103
46,104
46,111
46,115
46,117
46,122
46,124
46,125
46,127
46,129
46,137
46,138
46,143
46,153
46,154
46,156
46,157
46,162
46,163
46,166
46,172
46,174
46,179
46,180
46,185
46,186
46,187
46,193
46,194
46,195
46,197
46,198
46,200
48,49
48,56
48,58
48,59
48,66
48,74
48,81
48,83
48,95
48,96
48,99
48,101
48,103
48,104
48,109
48,111
48,117
48,122
48,124
48,127
48,129
48,136
48,137
48,138
48,143
48,147
48,153
48,155
48,156
48,157
48,162
48,166
48,169
48,174
48,175
48,179
48,180
48,185
48,189
48,193
48,194
48,195
48,197
48,198
48,200
48,201
49,52
49,54
49,56
49,58
49,61
49,64
49,66
49,67
49,68
49,69
49,74
49,80
49,81
49,82
49,92
49,95
49,96
49,97
49,99
49,100
49,101
49,103
49,104
49,106
49,107
49,108
49,109
49,111
49,112
49,115
49,117
49,120
49,122
49,124
49,125
49,127
49,129
49,130
49,136
49,137
49,138
49,139
49,143
49,147
49,149
